211102_screening_A03 Fc=4-3 - 1_X	211102_screening_A03 Fc=4-3 - 1_Y	211102_screening_A03 Fc=4-3 - 2_X	211102_screening_A03 Fc=4-3 - 2_Y	211102_screening_A03 Fc=4-3 - 3_X	211102_screening_A03 Fc=4-3 - 3_Y	211102_screening_A03 Fc=4-3 - 4_X	211102_screening_A03 Fc=4-3 - 4_Y	211102_screening_A03 Fc=4-3 - 5_X	211102_screening_A03 Fc=4-3 - 5_Y	211102_screening_A03 Fc=4-3 - 6_X	211102_screening_A03 Fc=4-3 - 6_Y	211102_screening_A03 Fc=4-3 - 7_X	211102_screening_A03 Fc=4-3 - 7_Y	211102_screening_A03 Fc=4-3 - 8_X	211102_screening_A03 Fc=4-3 - 8_Y	211102_screening_A03 Fc=4-3 - 9_X	211102_screening_A03 Fc=4-3 - 9_Y	211102_screening_A0 Fc=4-3 - 10_X	211102_screening_A0 Fc=4-3 - 10_Y	211102_screening_A0 Fc=4-3 - 11_X	211102_screening_A0 Fc=4-3 - 11_Y	211102_screening_A0 Fc=4-3 - 12_X	211102_screening_A0 Fc=4-3 - 12_Y	211102_screening_A0 Fc=4-3 - 13_X	211102_screening_A0 Fc=4-3 - 13_Y	211102_screening_A0 Fc=4-3 - 14_X	211102_screening_A0 Fc=4-3 - 14_Y	211102_screening_A0 Fc=4-3 - 15_X	211102_screening_A0 Fc=4-3 - 15_Y	211102_screening_A0 Fc=4-3 - 16_X	211102_screening_A0 Fc=4-3 - 16_Y	211102_screening_A0 Fc=4-3 - 17_X	211102_screening_A0 Fc=4-3 - 17_Y	211102_screening_A0 Fc=4-3 - 18_X	211102_screening_A0 Fc=4-3 - 18_Y	211102_screening_A0 Fc=4-3 - 19_X	211102_screening_A0 Fc=4-3 - 19_Y	211102_screening_A0 Fc=4-3 - 20_X	211102_screening_A0 Fc=4-3 - 20_Y	211102_screening_A0 Fc=4-3 - 21_X	211102_screening_A0 Fc=4-3 - 21_Y	211102_screening_A0 Fc=4-3 - 22_X	211102_screening_A0 Fc=4-3 - 22_Y	211102_screening_A0 Fc=4-3 - 23_X	211102_screening_A0 Fc=4-3 - 23_Y	211102_screening_A0 Fc=4-3 - 24_X	211102_screening_A0 Fc=4-3 - 24_Y	211102_screening_A0 Fc=4-3 - 25_X	211102_screening_A0 Fc=4-3 - 25_Y	211102_screening_A0 Fc=4-3 - 26_X	211102_screening_A0 Fc=4-3 - 26_Y	211102_screening_A0 Fc=4-3 - 27_X	211102_screening_A0 Fc=4-3 - 27_Y	211102_screening_A0 Fc=4-3 - 28_X	211102_screening_A0 Fc=4-3 - 28_Y	211102_screening_A0 Fc=4-3 - 29_X	211102_screening_A0 Fc=4-3 - 29_Y	211102_screening_A0 Fc=4-3 - 30_X	211102_screening_A0 Fc=4-3 - 30_Y	211103_screening_A06 Fc=2-1 - 1_X	211103_screening_A06 Fc=2-1 - 1_Y	211103_screening_A06 Fc=2-1 - 2_X	211103_screening_A06 Fc=2-1 - 2_Y	211103_screening_A06 Fc=2-1 - 3_X	211103_screening_A06 Fc=2-1 - 3_Y	211103_screening_A06 Fc=2-1 - 4_X	211103_screening_A06 Fc=2-1 - 4_Y	211103_screening_A06 Fc=2-1 - 5_X	211103_screening_A06 Fc=2-1 - 5_Y	211103_screening_A06 Fc=2-1 - 6_X	211103_screening_A06 Fc=2-1 - 6_Y	211103_screening_A06 Fc=2-1 - 7_X	211103_screening_A06 Fc=2-1 - 7_Y	211103_screening_A06 Fc=2-1 - 8_X	211103_screening_A06 Fc=2-1 - 8_Y	211103_screening_A06 Fc=2-1 - 9_X	211103_screening_A06 Fc=2-1 - 9_Y	211103_screening_A0 Fc=2-1 - 10_X	211103_screening_A0 Fc=2-1 - 10_Y	211104_screening(A07 Fc=4-3 - 1_X	211104_screening(A07 Fc=4-3 - 1_Y	211104_screening(A07 Fc=4-3 - 2_X	211104_screening(A07 Fc=4-3 - 2_Y	211104_screening(A07 Fc=4-3 - 3_X	211104_screening(A07 Fc=4-3 - 3_Y	211104_screening(A07 Fc=4-3 - 4_X	211104_screening(A07 Fc=4-3 - 4_Y	211104_screening(A07 Fc=4-3 - 5_X	211104_screening(A07 Fc=4-3 - 5_Y	211104_screening(A07 Fc=4-3 - 6_X	211104_screening(A07 Fc=4-3 - 6_Y	211104_screening(A07 Fc=4-3 - 7_X	211104_screening(A07 Fc=4-3 - 7_Y	211104_screening(A07 Fc=4-3 - 8_X	211104_screening(A07 Fc=4-3 - 8_Y	211104_screening(A07 Fc=4-3 - 9_X	211104_screening(A07 Fc=4-3 - 9_Y	211104_screening(A0 Fc=4-3 - 10_X	211104_screening(A0 Fc=4-3 - 10_Y	211109_screening_A08 Fc=4-3 - 1_X	211109_screening_A08 Fc=4-3 - 1_Y	211109_screening_A08 Fc=4-3 - 2_X	211109_screening_A08 Fc=4-3 - 2_Y	211109_screening_A08 Fc=4-3 - 3_X	211109_screening_A08 Fc=4-3 - 3_Y	211109_screening_A08 Fc=4-3 - 4_X	211109_screening_A08 Fc=4-3 - 4_Y	211109_screening_A08 Fc=4-3 - 5_X	211109_screening_A08 Fc=4-3 - 5_Y	211109_screening_A08 Fc=4-3 - 6_X	211109_screening_A08 Fc=4-3 - 6_Y	211109_screening_A08 Fc=4-3 - 7_X	211109_screening_A08 Fc=4-3 - 7_Y	211109_screening_A08 Fc=4-3 - 8_X	211109_screening_A08 Fc=4-3 - 8_Y	211109_screening_A08 Fc=4-3 - 9_X	211109_screening_A08 Fc=4-3 - 9_Y	211109_screening_A0 Fc=4-3 - 10_X	211109_screening_A0 Fc=4-3 - 10_Y	211109_screening_A0 Fc=4-3 - 11_X	211109_screening_A0 Fc=4-3 - 11_Y	211109_screening_A0 Fc=4-3 - 12_X	211109_screening_A0 Fc=4-3 - 12_Y	211109_screening_A0 Fc=4-3 - 13_X	211109_screening_A0 Fc=4-3 - 13_Y	211109_screening_A0 Fc=4-3 - 14_X	211109_screening_A0 Fc=4-3 - 14_Y	211109_screening_A0 Fc=4-3 - 15_X	211109_screening_A0 Fc=4-3 - 15_Y	211109_screening_A0 Fc=4-3 - 16_X	211109_screening_A0 Fc=4-3 - 16_Y	211109_screening_A0 Fc=4-3 - 17_X	211109_screening_A0 Fc=4-3 - 17_Y	211109_screening_A0 Fc=4-3 - 18_X	211109_screening_A0 Fc=4-3 - 18_Y	211109_screening_A0 Fc=4-3 - 19_X	211109_screening_A0 Fc=4-3 - 19_Y	211109_screening_A0 Fc=4-3 - 20_X	211109_screening_A0 Fc=4-3 - 20_Y	211110_screening_A10 Fc=2-1 - 1_X	211110_screening_A10 Fc=2-1 - 1_Y	211110_screening_A10 Fc=2-1 - 2_X	211110_screening_A10 Fc=2-1 - 2_Y	211110_screening_A10 Fc=2-1 - 3_X	211110_screening_A10 Fc=2-1 - 3_Y	211110_screening_A10 Fc=2-1 - 4_X	211110_screening_A10 Fc=2-1 - 4_Y	211110_screening_A10 Fc=2-1 - 5_X	211110_screening_A10 Fc=2-1 - 5_Y	211110_screening_A10 Fc=2-1 - 6_X	211110_screening_A10 Fc=2-1 - 6_Y	211110_screening_A10 Fc=2-1 - 7_X	211110_screening_A10 Fc=2-1 - 7_Y	211110_screening_A10 Fc=2-1 - 8_X	211110_screening_A10 Fc=2-1 - 8_Y	211110_screening_A10 Fc=2-1 - 9_X	211110_screening_A10 Fc=2-1 - 9_Y	211110_screening_A1 Fc=2-1 - 10_X	211110_screening_A1 Fc=2-1 - 10_Y	211111_screening_A11 Fc=4-3 - 1_X	211111_screening_A11 Fc=4-3 - 1_Y	211111_screening_A11 Fc=4-3 - 2_X	211111_screening_A11 Fc=4-3 - 2_Y	211111_screening_A11 Fc=4-3 - 3_X	211111_screening_A11 Fc=4-3 - 3_Y	211111_screening_A11 Fc=4-3 - 4_X	211111_screening_A11 Fc=4-3 - 4_Y	211111_screening_A11 Fc=4-3 - 5_X	211111_screening_A11 Fc=4-3 - 5_Y	211111_screening_A11 Fc=4-3 - 6_X	211111_screening_A11 Fc=4-3 - 6_Y	211111_screening_A11 Fc=4-3 - 7_X	211111_screening_A11 Fc=4-3 - 7_Y	211111_screening_A11 Fc=4-3 - 8_X	211111_screening_A11 Fc=4-3 - 8_Y	211111_screening_A11 Fc=4-3 - 9_X	211111_screening_A11 Fc=4-3 - 9_Y	211111_screening_A1 Fc=4-3 - 10_X	211111_screening_A1 Fc=4-3 - 10_Y	211111_screening_A1 Fc=4-3 - 11_X	211111_screening_A1 Fc=4-3 - 11_Y	211111_screening_A1 Fc=4-3 - 12_X	211111_screening_A1 Fc=4-3 - 12_Y	211111_screening_A1 Fc=4-3 - 13_X	211111_screening_A1 Fc=4-3 - 13_Y	211111_screening_A1 Fc=4-3 - 14_X	211111_screening_A1 Fc=4-3 - 14_Y	211111_screening_A1 Fc=4-3 - 15_X	211111_screening_A1 Fc=4-3 - 15_Y	211111_screening_G12 Fc=4-3 - 1_X	211111_screening_G12 Fc=4-3 - 1_Y	211111_screening_G12 Fc=4-3 - 2_X	211111_screening_G12 Fc=4-3 - 2_Y	211111_screening_G12 Fc=4-3 - 3_X	211111_screening_G12 Fc=4-3 - 3_Y	211111_screening_G12 Fc=4-3 - 4_X	211111_screening_G12 Fc=4-3 - 4_Y
1.8	8726.02	1.8	8712.45	1.8	8704.86	1.8	8695.68	1.8	8691.66	1.8	8688.86	1.8	8686.57	1.8	8680.24	1.8	8681.31	1.8	8689.9	1.8	8684.92	1.8	8681.22	1.8	8679.99	1.8	8672.49	1.8	8678.49	1.8	8671.21	1.8	8672.79	1.8	8674.7	1.8	8669.04	1.8	8680.41	1.8	8682.55	1.8	8682.38	1.8	8680.5	1.8	8677.56	1.8	8683.97	1.8	8687.22	1.8	8687.32	1.8	8693.91	1.8	8688.17	1.8	8697.56	1.6	10332.3	1.6	10320.7	1.6	10314.5	1.6	10308.7	1.6	10303.6	1.6	10300.5	1.6	10300.9	1.6	10296.3	1.6	10298.2	1.6	10301.2	1.8	8581.16	1.8	8549.15	1.8	8534.98	1.8	8516.08	1.8	8513.76	1.8	8505.17	1.8	8501.02	1.8	8498.06	1.8	8500.79	1.8	8505.59	1.8	10082.8	1.8	10070.4	1.8	10064.4	1.8	10055.1	1.8	10052.1	1.8	10049.7	1.8	10048.8	1.8	10045.5	1.8	10044.9	1.8	10052	1.8	10050	1.8	10048.1	1.8	10049.1	1.8	10050.3	1.8	10046.3	1.8	10050.5	1.8	10051.6	1.8	10053.1	1.8	10056.6	1.8	10058.6	1.6	10397.5	1.6	10370	1.6	10349.9	1.6	10335.6	1.6	10330.4	1.6	10324.1	1.6	10318.8	1.6	10318.5	1.6	10314.8	1.6	10320.1	1.8	7221.19	1.8	7173.78	1.8	7142.22	1.8	7124.71	1.8	7116.57	1.8	7104.08	1.8	7099.56	1.8	7095.53	1.8	7088.73	1.8	7093.26	1.8	7080.59	1.8	7086.33	1.8	7081.55	1.8	7080.42	1.8	7077.87	1.8	7261.77	1.8	7259.43	1.8	7261.69	1.8	7264.27
2.8	8724.3	2.8	8709.2	2.8	8704.21	2.8	8697.87	2.8	8691.99	2.8	8687.92	2.8	8685.71	2.8	8684.64	2.8	8679.94	2.8	8691.57	2.8	8685.32	2.8	8678.76	2.8	8678.24	2.8	8672.87	2.8	8673.23	2.8	8673.45	2.8	8672.35	2.8	8671.18	2.8	8671.42	2.8	8684.48	2.8	8679.66	2.8	8675.81	2.8	8678.27	2.8	8677.51	2.8	8682.55	2.8	8686.25	2.8	8688.41	2.8	8691.73	2.8	8695.47	2.8	8697.36	2.6	10333.8	2.6	10320.2	2.6	10315	2.6	10309.6	2.6	10304.3	2.6	10298.5	2.6	10299.2	2.6	10297.5	2.6	10297.8	2.6	10300.7	2.8	8583.67	2.8	8550.92	2.8	8538.06	2.8	8524.29	2.8	8510.46	2.8	8505.18	2.8	8497.65	2.8	8499.65	2.8	8497.6	2.8	8509.4	2.8	10082.6	2.8	10068.3	2.8	10062.7	2.8	10055	2.8	10055.2	2.8	10046.5	2.8	10050.6	2.8	10044.8	2.8	10044.1	2.8	10052.7	2.8	10050.5	2.8	10048.3	2.8	10048	2.8	10050.6	2.8	10044.3	2.8	10046.7	2.8	10050.4	2.8	10052.7	2.8	10058.4	2.8	10057.4	2.6	10397	2.6	10369.5	2.6	10350	2.6	10335.9	2.6	10328.9	2.6	10325.3	2.6	10319.4	2.6	10317.2	2.6	10313.8	2.6	10320.4	2.8	7220	2.8	7174.11	2.8	7139.69	2.8	7127.18	2.8	7115.37	2.8	7104.39	2.8	7102.3	2.8	7091.75	2.8	7088.59	2.8	7095.6	2.8	7084.71	2.8	7085.15	2.8	7083.13	2.8	7081.46	2.8	7079.14	2.8	7264.71	2.8	7261.14	2.8	7260.78	2.8	7262.94
3.8	8725.73	3.8	8710.07	3.8	8703.67	3.8	8695.81	3.8	8691.9	3.8	8688.79	3.8	8688.92	3.8	8681.5	3.8	8681.54	3.8	8691.12	3.8	8684.65	3.8	8682.68	3.8	8679.68	3.8	8673.74	3.8	8671.03	3.8	8673.76	3.8	8667.97	3.8	8671.68	3.8	8672.12	3.8	8681.09	3.8	8678.63	3.8	8678.49	3.8	8680.64	3.8	8680.63	3.8	8681.69	3.8	8685.64	3.8	8683.2	3.8	8691.3	3.8	8691.13	3.8	8698.09	3.6	10333.1	3.6	10320.4	3.6	10314.9	3.6	10306	3.6	10301	3.6	10301.5	3.6	10298	3.6	10294.6	3.6	10296.2	3.6	10302.7	3.8	8579.35	3.8	8549.46	3.8	8531.26	3.8	8516.22	3.8	8514.72	3.8	8509.41	3.8	8503.19	3.8	8496.39	3.8	8497.17	3.8	8507.19	3.8	10085.9	3.8	10069.1	3.8	10060.3	3.8	10055.5	3.8	10053.4	3.8	10049.8	3.8	10051.5	3.8	10049	3.8	10046.4	3.8	10051.1	3.8	10050.5	3.8	10047.8	3.8	10049	3.8	10049.7	3.8	10048.7	3.8	10050.3	3.8	10049.7	3.8	10051.9	3.8	10052.1	3.8	10058.4	3.6	10397.3	3.6	10367.8	3.6	10349.7	3.6	10335.3	3.6	10328.5	3.6	10324.8	3.6	10319.5	3.6	10318.1	3.6	10315.3	3.6	10319.4	3.8	7221.46	3.8	7170.62	3.8	7139.86	3.8	7128.9	3.8	7114.74	3.8	7105	3.8	7100.31	3.8	7094.87	3.8	7086.13	3.8	7093.4	3.8	7085.63	3.8	7089.63	3.8	7083.48	3.8	7084.94	3.8	7078.31	3.8	7262.64	3.8	7259.6	3.8	7259.7	3.8	7262.95
4.8	8725.43	4.8	8710.17	4.8	8702.64	4.8	8695.31	4.8	8692.86	4.8	8686.04	4.8	8688.81	4.8	8680.67	4.8	8677.42	4.8	8690.58	4.8	8685.71	4.8	8680.48	4.8	8679.77	4.8	8673.65	4.8	8676.21	4.8	8672.19	4.8	8672.63	4.8	8674.38	4.8	8668.1	4.8	8680.23	4.8	8679.34	4.8	8678.13	4.8	8683.1	4.8	8681.77	4.8	8681.99	4.8	8684.95	4.8	8685.58	4.8	8693.19	4.8	8689.87	4.8	8702.04	4.6	10333.8	4.6	10318.3	4.6	10311.6	4.6	10307.4	4.6	10302	4.6	10298.3	4.6	10298.8	4.6	10294.7	4.6	10296.9	4.6	10300.8	4.8	8576.78	4.8	8548.23	4.8	8531.75	4.8	8517.1	4.8	8514.59	4.8	8507.24	4.8	8500.93	4.8	8501.31	4.8	8501.36	4.8	8511.5	4.8	10084.9	4.8	10070	4.8	10060.2	4.8	10056.2	4.8	10051.8	4.8	10049.9	4.8	10053.2	4.8	10048.3	4.8	10048.7	4.8	10052.4	4.8	10051.5	4.8	10047.3	4.8	10046.9	4.8	10046.4	4.8	10049.3	4.8	10049	4.8	10053	4.8	10053.1	4.8	10053.2	4.8	10058.4	4.6	10397	4.6	10367.4	4.6	10350.2	4.6	10335.1	4.6	10329.1	4.6	10324	4.6	10318.8	4.6	10318.2	4.6	10314.4	4.6	10319.9	4.8	7219.21	4.8	7172.29	4.8	7139.36	4.8	7128.2	4.8	7116.68	4.8	7103.8	4.8	7099.93	4.8	7094.21	4.8	7087.24	4.8	7095.94	4.8	7089.26	4.8	7087.91	4.8	7083.4	4.8	7081.18	4.8	7081.06	4.8	7264.32	4.8	7259.71	4.8	7257.78	4.8	7257.96
5.8	8721	5.8	8710.07	5.8	8703.68	5.8	8699.41	5.8	8693.2	5.8	8689.2	5.8	8688.76	5.8	8678.94	5.8	8678.2	5.8	8688.56	5.8	8683.9	5.8	8683.27	5.8	8675.12	5.8	8673.52	5.8	8671.3	5.8	8675.31	5.8	8671.58	5.8	8674.15	5.8	8671.55	5.8	8681.34	5.8	8678.43	5.8	8679.12	5.8	8680.8	5.8	8680.86	5.8	8684.72	5.8	8685.67	5.8	8687.06	5.8	8691.24	5.8	8693.52	5.8	8700.74	5.6	10332.4	5.6	10318.2	5.6	10312.4	5.6	10304.2	5.6	10302.5	5.6	10300	5.6	10297.3	5.6	10294.2	5.6	10296.9	5.6	10301.5	5.8	8581.55	5.8	8544.58	5.8	8534.18	5.8	8518.34	5.8	8512.07	5.8	8510.98	5.8	8505.18	5.8	8500.05	5.8	8497.68	5.8	8505.33	5.8	10082.7	5.8	10068.9	5.8	10060.3	5.8	10057.7	5.8	10052.6	5.8	10050.4	5.8	10049.6	5.8	10045.7	5.8	10045.5	5.8	10049.3	5.8	10051.3	5.8	10050.1	5.8	10049.7	5.8	10047.1	5.8	10048.6	5.8	10051.1	5.8	10050.2	5.8	10055.1	5.8	10055.2	5.8	10058.1	5.6	10397.7	5.6	10369.3	5.6	10349.9	5.6	10334.6	5.6	10330.5	5.6	10326.2	5.6	10319.7	5.6	10316.1	5.6	10315.1	5.6	10318.8	5.8	7219.19	5.8	7172.06	5.8	7146.69	5.8	7126.54	5.8	7114.07	5.8	7102.68	5.8	7101.73	5.8	7094.93	5.8	7088.7	5.8	7094.29	5.8	7089.83	5.8	7084.53	5.8	7079.39	5.8	7080.4	5.8	7079.11	5.8	7260.1	5.8	7260.46	5.8	7258.49	5.8	7259.51
6.8	8725.12	6.8	8708.23	6.8	8704.04	6.8	8700.16	6.8	8691.73	6.8	8691.07	6.8	8687.13	6.8	8677.29	6.8	8678.32	6.8	8688.56	6.8	8684.48	6.8	8683.06	6.8	8676.92	6.8	8670.45	6.8	8672.78	6.8	8672.52	6.8	8670.44	6.8	8670.41	6.8	8672.49	6.8	8684.22	6.8	8676.74	6.8	8685.92	6.8	8677.86	6.8	8682.46	6.8	8681.01	6.8	8687.82	6.8	8685.7	6.8	8688.4	6.8	8690.5	6.8	8697.32	6.6	10331.3	6.6	10318.1	6.6	10312.6	6.6	10304.5	6.6	10302.1	6.6	10295.6	6.6	10297.9	6.6	10295.4	6.6	10296.8	6.6	10300.7	6.8	8578.25	6.8	8546.7	6.8	8533.19	6.8	8519.09	6.8	8513.78	6.8	8511.35	6.8	8503.05	6.8	8498.44	6.8	8496	6.8	8505.07	6.8	10083.8	6.8	10069.4	6.8	10062.3	6.8	10056.1	6.8	10050.4	6.8	10052.9	6.8	10054.2	6.8	10047.5	6.8	10047.5	6.8	10052.9	6.8	10046.8	6.8	10050.1	6.8	10047.9	6.8	10049.2	6.8	10047.7	6.8	10048.6	6.8	10049	6.8	10055.2	6.8	10054.3	6.8	10058.7	6.6	10398.2	6.6	10369.6	6.6	10348.7	6.6	10334.2	6.6	10329.3	6.6	10323.9	6.6	10318.8	6.6	10317.7	6.6	10315.3	6.6	10318.8	6.8	7217.37	6.8	7171.47	6.8	7141.71	6.8	7128.18	6.8	7112.71	6.8	7104.12	6.8	7102.01	6.8	7093.18	6.8	7090.83	6.8	7098.74	6.8	7088.53	6.8	7085.85	6.8	7082.66	6.8	7080.95	6.8	7080.62	6.8	7260.48	6.8	7260.58	6.8	7258.52	6.8	7263.29
7.8	8723.07	7.8	8707.35	7.8	8701.71	7.8	8697.29	7.8	8694.32	7.8	8689.21	7.8	8684.44	7.8	8677.35	7.8	8674.8	7.8	8687.2	7.8	8681.64	7.8	8682.57	7.8	8677.25	7.8	8670.57	7.8	8673.77	7.8	8673.7	7.8	8668.88	7.8	8669.36	7.8	8672.24	7.8	8684.14	7.8	8677.37	7.8	8681.08	7.8	8679.97	7.8	8680.65	7.8	8683.21	7.8	8683.95	7.8	8683.58	7.8	8692.69	7.8	8692.53	7.8	8697.64	7.6	10331.6	7.6	10317.7	7.6	10312.3	7.6	10305.9	7.6	10303.2	7.6	10295.8	7.6	10295.5	7.6	10296.2	7.6	10297.4	7.6	10301	7.8	8580.75	7.8	8548.39	7.8	8535.92	7.8	8519.69	7.8	8510.04	7.8	8508.93	7.8	8502.31	7.8	8499.92	7.8	8503.39	7.8	8507.34	7.8	10081.7	7.8	10070.7	7.8	10062.6	7.8	10061.4	7.8	10051.8	7.8	10053.7	7.8	10047.9	7.8	10051	7.8	10045.9	7.8	10051.8	7.8	10046.6	7.8	10049.6	7.8	10046.4	7.8	10047.7	7.8	10049.9	7.8	10048.4	7.8	10050.7	7.8	10054.2	7.8	10054.4	7.8	10058.5	7.6	10397.1	7.6	10368.2	7.6	10349.7	7.6	10335.9	7.6	10330.1	7.6	10324	7.6	10318.6	7.6	10318.4	7.6	10314.6	7.6	10318.6	7.8	7222.11	7.8	7172.88	7.8	7144.8	7.8	7126.65	7.8	7112.1	7.8	7104.67	7.8	7101.6	7.8	7093.12	7.8	7084.36	7.8	7101.73	7.8	7086.84	7.8	7088.85	7.8	7084.4	7.8	7081.18	7.8	7081.57	7.8	7261.73	7.8	7257.63	7.8	7259.05	7.8	7262.52
8.8	8724.2	8.8	8709.63	8.8	8705.96	8.8	8697.22	8.8	8697.23	8.8	8690.12	8.8	8688.36	8.8	8675.56	8.8	8676.6	8.8	8685.93	8.8	8680.62	8.8	8679.22	8.8	8681.8	8.8	8671.56	8.8	8674.25	8.8	8674.27	8.8	8671.96	8.8	8669.06	8.8	8672.59	8.8	8683.19	8.8	8678.74	8.8	8681.04	8.8	8680.98	8.8	8682.61	8.8	8681.31	8.8	8686.19	8.8	8684.34	8.8	8688.68	8.8	8691.66	8.8	8696.3	8.6	10330.4	8.6	10318.6	8.6	10311.3	8.6	10305.3	8.6	10301.1	8.6	10297	8.6	10297.5	8.6	10294.2	8.6	10293.9	8.6	10301	8.8	8579.28	8.8	8545.73	8.8	8533.75	8.8	8520.05	8.8	8515.1	8.8	8507.12	8.8	8502.25	8.8	8501.4	8.8	8497.3	8.8	8506.81	8.8	10082.8	8.8	10066.1	8.8	10061.3	8.8	10059.5	8.8	10053.5	8.8	10051.2	8.8	10049.3	8.8	10050	8.8	10047.7	8.8	10050.6	8.8	10051	8.8	10048.6	8.8	10048.4	8.8	10049.6	8.8	10047.2	8.8	10051.1	8.8	10047.1	8.8	10053.2	8.8	10055.8	8.8	10058.4	8.6	10397.2	8.6	10368.8	8.6	10349.5	8.6	10335.7	8.6	10329.5	8.6	10324.3	8.6	10319.9	8.6	10318	8.6	10314.6	8.6	10319.4	8.8	7220	8.8	7171.33	8.8	7143.77	8.8	7126.79	8.8	7114.08	8.8	7105.19	8.8	7098.99	8.8	7094.91	8.8	7086.39	8.8	7097.93	8.8	7091.61	8.8	7086.04	8.8	7085.9	8.8	7083.93	8.8	7079.86	8.8	7261.79	8.8	7257.96	8.8	7257.31	8.8	7261.88
9.8	8722.63	9.8	8709.79	9.8	8702.01	9.8	8699.42	9.8	8694.88	9.8	8688.69	9.8	8687.3	9.8	8679.97	9.8	8679.63	9.8	8686.32	9.8	8680.57	9.8	8682.08	9.8	8681.79	9.8	8675.77	9.8	8674.36	9.8	8674.62	9.8	8674.9	9.8	8672.88	9.8	8673.17	9.8	8680.8	9.8	8677.46	9.8	8680.16	9.8	8680.7	9.8	8679.09	9.8	8683.23	9.8	8685.02	9.8	8685.27	9.8	8692.05	9.8	8694.39	9.8	8700.39	9.6	10331.1	9.6	10319.9	9.6	10311.5	9.6	10305.1	9.6	10301.2	9.6	10298	9.6	10296.8	9.6	10294.8	9.6	10294.7	9.6	10300.1	9.8	8577.87	9.8	8548.95	9.8	8532.12	9.8	8517.49	9.8	8513.09	9.8	8512.46	9.8	8505.22	9.8	8499.32	9.8	8498.52	9.8	8510.37	9.8	10083.8	9.8	10067.7	9.8	10063.5	9.8	10055.5	9.8	10052.9	9.8	10048.5	9.8	10048	9.8	10047.8	9.8	10048.3	9.8	10052.1	9.8	10050	9.8	10048	9.8	10046.5	9.8	10050.6	9.8	10047.9	9.8	10049	9.8	10047.8	9.8	10051.8	9.8	10053.3	9.8	10058.2	9.6	10396.8	9.6	10368	9.6	10350.3	9.6	10335.7	9.6	10329.6	9.6	10323.9	9.6	10318.4	9.6	10318.3	9.6	10315.1	9.6	10320.1	9.8	7217.66	9.8	7172.77	9.8	7145.71	9.8	7126.66	9.8	7115.27	9.8	7104.2	9.8	7102.06	9.8	7091.54	9.8	7090.17	9.8	7093.82	9.8	7087.71	9.8	7085.99	9.8	7086.89	9.8	7078.36	9.8	7076.67	9.8	7264.01	9.8	7260.92	9.8	7259.03	9.8	7261.39
10.8	8723.24	10.8	8710.61	10.8	8704.67	10.8	8698.27	10.8	8691.1	10.8	8690.04	10.8	8688.16	10.8	8679.61	10.8	8679.59	10.8	8688.09	10.8	8685.58	10.8	8682.38	10.8	8679.61	10.8	8673.28	10.8	8673.74	10.8	8673.9	10.8	8672.66	10.8	8673.31	10.8	8672.93	10.8	8682.14	10.8	8678.27	10.8	8681.48	10.8	8678.7	10.8	8682.68	10.8	8685.94	10.8	8682.69	10.8	8687.78	10.8	8686.13	10.8	8690.72	10.8	8696.53	10.6	10328.8	10.6	10318	10.6	10311.4	10.6	10306	10.6	10302.9	10.6	10296	10.6	10296.7	10.6	10294.8	10.6	10296	10.6	10298.9	10.8	8576.84	10.8	8547.63	10.8	8531.45	10.8	8519.94	10.8	8512.85	10.8	8510.18	10.8	8507.36	10.8	8498.68	10.8	8498.38	10.8	8507.8	10.8	10081.5	10.8	10069.3	10.8	10063.1	10.8	10056.4	10.8	10053	10.8	10050.4	10.8	10049.2	10.8	10049	10.8	10047.9	10.8	10054.9	10.8	10048.4	10.8	10047.6	10.8	10046.9	10.8	10052.2	10.8	10047.3	10.8	10046.1	10.8	10047.8	10.8	10051.5	10.8	10053.4	10.8	10057.5	10.6	10399	10.6	10367.7	10.6	10348.9	10.6	10335.9	10.6	10328.9	10.6	10322.5	10.6	10318.5	10.6	10318.8	10.6	10315.2	10.6	10320.4	10.8	7218.52	10.8	7171.75	10.8	7142.45	10.8	7122.19	10.8	7114.19	10.8	7107.41	10.8	7098.36	10.8	7091.63	10.8	7089.37	10.8	7094.52	10.8	7087.11	10.8	7087.25	10.8	7085.45	10.8	7086.24	10.8	7076.9	10.8	7263.42	10.8	7260.68	10.8	7260.91	10.8	7265.45
